"zipcode","county","city"
"806","高雄市","前鎮區"
"807","高雄市","三民區"
"811","高雄市","楠梓區"
"812","高雄市","小港區"
"813","高雄市","左營區"
"814","高雄市","仁武區"
"815","高雄市","大社區"
"820","高雄市","岡山區"
"821","高雄市","路竹區"
"822","高雄市","阿蓮區"
"823","高雄市","田寮區"
"824","高雄市","燕巢區"
"825","高雄市","橋頭區"
"826","高雄市","梓官區"
"827","高雄市","彌陀區"
"828","高雄市","永安區"
"829","高雄市","湖內區"
"830","高雄市","鳳山區"
"831","高雄市","大寮區"
"832","高雄市","林園區"
"833","高雄市","鳥松區"
"840","高雄市","大樹區"
"842","高雄市","旗山區"
"843","高雄市","美濃區"
"844","高雄市","六龜區"
"845","高雄市","內門區"
"846","高雄市","杉林區"
"847","高雄市","甲仙區"
"848","高雄市","桃源區"
"849","高雄市","那瑪夏區"
"851","高雄市","茂林區"
"852","高雄市","茄萣區"
"817","高雄市","東沙群島"
"819","高雄市","南沙群島"
"880","澎湖縣","馬公市"
"881","澎湖縣","西嶼鄉"
"882","澎湖縣","望安鄉"
"883","澎湖縣","七美鄉"
"884","澎湖縣","白沙鄉"
"885","澎湖縣","湖西鄉"
"900","屏東縣","屏東市"
"901","屏東縣","三地門鄉"
"902","屏東縣","霧臺鄉"
"903","屏東縣","瑪家鄉"
"904","屏東縣","九如鄉"
"905","屏東縣","里港鄉"
"906","屏東縣","高樹鄉"
"907","屏東縣","鹽埔鄉"
"908","屏東縣","長治鄉"
"909","屏東縣","麟洛鄉"
"911","屏東縣","竹田鄉"
"912","屏東縣","內埔鄉"
"913","屏東縣","萬丹鄉"
"920","屏東縣","潮州鎮"
"921","屏東縣","泰武鄉"
"922","屏東縣","來義鄉"
"923","屏東縣","萬巒鄉"
"924","屏東縣","崁頂鄉"
"925","屏東縣","新埤鄉"
"926","屏東縣","南州鄉"
"927","屏東縣","林邊鄉"
"928","屏東縣","東港鎮"
"929","屏東縣","琉球鄉"
"931","屏東縣","佳冬鄉"
"932","屏東縣","新園鄉"
"940","屏東縣","枋寮鄉"
"941","屏東縣","枋山鄉"
"942","屏東縣","春日鄉"
"943","屏東縣","獅子鄉"
"944","屏東縣","車城鄉"
"945","屏東縣","牡丹鄉"
"946","屏東縣","恆春鎮"
"947","屏東縣","滿州鄉"
"950","臺東縣","臺東市"
"951","臺東縣","綠島鄉"
"952","臺東縣","蘭嶼鄉"
"953","臺東縣","延平鄉"
"954","臺東縣","卑南鄉"
"955","臺東縣","鹿野鄉"
"956","臺東縣","關山鎮"
"957","臺東縣","海端鄉"
"958","臺東縣","池上鄉"
"959","臺東縣","東河鄉"
"961","臺東縣","成功鎮"
"962","臺東縣","長濱鄉"
"963","臺東縣","太麻里鄉"
"964","臺東縣","金峰鄉"
"965","臺東縣","大武鄉"
"966","臺東縣","達仁鄉"
"970","花蓮縣","花蓮市"
"971","花蓮縣","新城鄉"
"972","花蓮縣","秀林鄉"
"973","花蓮縣","吉安鄉"
"974","花蓮縣","壽豐鄉"
"975","花蓮縣","鳳林鎮"
"976","花蓮縣","光復鄉"
"977","花蓮縣","豐濱鄉"
"978","花蓮縣","瑞穗鄉"
"979","花蓮縣","萬榮鄉"
"981","花蓮縣","玉里鎮"
"982","花蓮縣","卓溪鄉"
"983","花蓮縣","富里鄉"
"890","金門縣","金沙鎮"
"891","金門縣","金湖鎮"
"892","金門縣","金寧鄉"
"893","金門縣","金城鎮"
"894","金門縣","烈嶼鄉"
"896","金門縣","烏坵鄉"
"209","連江縣","南竿鄉"
"210","連江縣","北竿鄉"
"211","連江縣","莒光鄉"
"212","連江縣","東引鄉"
